,sentence,emoji
6411,光与夜之恋 登一下她的号，非本人，我是她男朋友。警告某些人，私聊撩别人女朋友真的没意思，有种来脑瓦特药业集团找我查理苏单挑,[喵喵]
6412,这福气给你吧谁能发出这种词条来啊，你没事就多吃点溜溜梅，酸酸甜甜挺好的，下饭。,[交税]
6413,虽然但是，赵泳鑫的那首没发的歌叫《刚好日落》,[笑cry]
6414,什么降价,[doge]
6415,怀疑我被监视了,[并不简单]
6416,这年头下头男可真多啊,[吐]
6417,哪个部门负责这些？还是民间组织赚钱的新路子,[哈哈]
6418,首都给魔都打个样吧！ 西安,[偷笑]
6419,18年的作文竟然一点印象都没有了,[二哈]
6420,中国人民永不忘记北约的野蛮暴行，也绝不允许历史悲剧重演,[拳头]
6421,雪糕都要吃不起了,[衰]
6422,还持续半个小时，太可怕了,[笑cry]
6423,北京飞广州的航班都取消了，五一回不了家了，拿头去飞呀,[苦涩]
6424,去去去，这个月我在热搜上已经去了全中国了，我真的会谢,[开学季]
6425,哈哈哈哈哈，笑死了…,[偷笑]
6426,期待我们任天真医生哦 ·,[求关注]
6427,大学生来了,[doge]
6428,战略地位很重要。不然美国会跳脚么,[doge]
6429,第四了,[哆啦A梦害怕]
6430,拿根鞭子抽员工是体罚，报告手机电量这是pua。,[怒]
6431,怎么做到感情戏这么少 还让我入戏这么深的啊,[泪]
6432,实时充分证明了大家都不是傻子,[挖鼻]
6433,真的把顺德演的很好！期待美女下一部作品,[舔屏]
6434,戳图学习📚🙇，转发传递！,[加油]
6435,哇能长寿嘛,[哇]
6436,漂亮国，我好恨,[怒]
6437,乌拉:先炖只乌鸡，再炒个菠菜，盛在立陶碗，芬给大家吃，不够再典个菜，英该都去吃才美味儿,[doge]
6438,英雄一路走好🙏 网页链接,[心]
6439,有趣，是挺好听的！,[憧憬]
6440,====防疫是大事，先关闭吧！,[话筒]
6441,最近是捅了蛇窝了，前几天每天都有蛇的热搜，今天更过分，一天三条蛇的热搜,[允悲]
6442,#iPadOS 16# 终于有了台前调度、天气app、多任务、多窗口、还能调节窗口大小，外接显示器 iPad终于可以同时在一个页面操作多个app了，能一边刷微博，一边看微信消息啥的，效率大增！大屏玩起来才更爽，没有加入计算器app是一大遗憾 想体验的用户可以去下载beta版本了，iPadOS终于跨越了一大步,[666]
6443,幸福啊，你能不能来哄哄我，我也是最可爱的,[揣手]
6444,鲅鱼圈疫情我记得好像好久了 怎么没好转啊 还是像尔滨一样又重新上桌了,[二哈]
6445,公知狗在装死 网页链接,[允悲]
6446,考研考公考证这些报班费用一个比一个高,[摊手]
6447,#重生之门 好人#看完发现除了罗队，其他的我都分不清好坏了,[衰]
6448,我记得之前还有侮辱新疆演员的 那架势恨不得把新疆踢出去 所以是哪些呢 背地里原来一看是间谍啊,[可爱]
6449,我没有见到过实体店诶，感觉电商平台卖得还是很好的,[思考]
6450,2021新年拍的,[拜拜]
6451,提拉米苏盒子自由 蛋黄加糖，隔热水搅拌倒入牛奶，搅好倒入马斯卡彭奶酪继续拌匀。淡奶油打发粘稠状，倒入之前拌匀的奶酪中，放冰箱冷藏。萃取的咖啡加入朗姆酒，泡一下手指饼干组装。冰箱冷藏4小时后撒入可可粉，提拉米苏自由啦自由啦～ ...全文,[求关注]
6452,近日，江苏徐州，，成功考研深造。在阅读上花的每一秒，都在为一个更好的你积蓄力量。北京大学、清华大学、复旦大学、浙江大学、南京大学、中山大学…从多所高校图书馆借阅榜中，精选出40本上榜好书↓↓趁年轻，多积累！ ...全文,[话筒]
6453,真的闲的,[笑cry]
6454,库里三节29分，打卡下班！ G2找回场子，我们做到了,[鼓掌]
6455,别人都没急，一群怕得要死的国人就开心得落井下石,[哈哈]
6456,五一劳动节快乐！早安！（图片：李梓萱）,[心]
6457,郭晓婷接受采访时说自己曾经很担心演得太乖了，没有顺德仙姬从单纯到疯批转变的反差。实际上只想说她的担心太多余了，她把角色的可怜又可恨演绎得很到位呀,[good]
6458,为什么日本不开放三胎来提高生育率呢学学我国好吧，人民安居乐业，不想打工就把闲置的房子出租出去，偶尔开私家车去拉客,[悲伤]
6459,只能说iOS16更新了毛 iPados16就感兴趣很多,[泪]
6460,当 顾盼生辉的组合遇上神雕侠侣的BGM 真的给我们圆梦了 好甜好甜好甜，眼神里都在拉丝啊！,[苦涩]
6461,蹲蹲乙卷文综 文科人 文科魂 文科人是人上人,[打call]
6462,被罗队一句话刺伤了 备注改成了罗坚 罗队确实太着急了 我站庄文杰,[笑cry]
6463,我敲又没剧看了呗,[哆啦A梦害怕]
6464,我要回家谢谢,[太开心]
6465,像娇娇这样的美女 说什么都对,[抱一抱]
6466,🕹🕹游戏也是一,打游戏越爱花钱
6467,我天！！这难道是很大的恩赐了吗？已经好几个孩子了，还再买一套房，主动寻找压力,[笑cry]
6468,吓死我了，我以为是什么凶杀惨案……我这瞎了一样的眼睛,[允悲]
6469,我去……还以为是鬼皇,[微笑]
6470,这也能叫好友,[费解]
6471,谢谢医生,[泪]
6472,本人四月一直在吃 幸好网课期间停了药 否则那天喝酒就要小命呜呼了,[二哈]
6473,牛，干了我想干又不敢干的事情,[允悲]
6474,脱粉真的是一件很恐怖的事…就比如说这季节目，本来还想冲着小刘去看看，结果一看录制嘉宾…焯怎么有我前担梧桐，最好他只是来一期,[抓狂]
6475,没有穿衣自由的夏天是不完整的 （这大眼真是爱营销 每天都推广）,[太开心]
6476,酸q咯,[可爱]
6477,饿了想吃晚宁的红油抄手,[可怜]
6478,以后有机会要去一次,[二哈]
6479,帕梅拉 录播#,[加油]
6480,,[悲伤]
6481,？？？,[哆啦A梦害怕]
6482,东南大学 “北大以文史哲著称，东大以科学名世”北大史学教授梁和钧如是评论 回望百余光阴 与 契若金兰 于中国教育事业发展进步的漫漫征途中 比肩而立，携手共进 东大北大，携手并肩； 百廿风华，共创未来！,[心]
6483,【 [奋斗]】6月7日8时25分，梅州警方接到一考生求助，称其因路面堵车，按照正常行驶时间无法准时到达考场。梅州铁骑队员迅速前往求助的地方寻找该考生，仅用5分钟将考生安全护送到高考考场。,[打call]
6484,#重生之门 好人# 其他的我不知道，我只知道是好人,[晕]
6485,吃生煎好像还是上辈子的事……,[抓狂]
6486,我的理想工作是给苏打饼干打孔,[嘻嘻]
6487,卧槽 我真的会伤心最近刚四刷了步步惊心丽一定要快点好起来🙏🙏🙏,[泪]
6488,升级后更方面了呐，一码显示多处信息🤗,[鼓掌]
6489,每一天都是要计划好去做一些积极的事情，让你自己充满活力； 说一些鼓励的话，保持微笑。 早安!,[可爱]
6490,难道不是占车位的错吗,[思考]
6491,这么生气吗有病吧,[疑问]
6492,好厉害沾一沾 下周模拟考数学考好点🙏🙏🙏,[苦涩]
6493,不是有钱就可以为所欲为，你至少应该像个正常人一样。还找刺激！找刺激怎么不霍霍自己家啊？知道祸害别人。,[哈哈]
6494,高三学子们 高考加油呀 不知不觉已过去三年了... 又开始迈入人生的下一个阶段了,[赢牛奶]
6495,少年歌行结尾太潦草了吧，要不是看过小说真的就信了，啥也没说儒剑仙也没来，小仙女和赵玉真删减了好多话，小仙女的你来了一点感觉也没有。真的太气了,[怒骂]
6496,五月的天，是刚诞生的夏天。？愿疫情如愿退散，美好如约而至。via,[微风]
6497,其实法斗也是很可爱的。一直都想养一只法斗。,[握手]
6498,过的民不聊生，你却在这夸赞伟大,[费解]
6499,一点也没兴趣 这辈子不会看韩国拍的古装剧 挪用汉服文化的小偷国,[微笑]
6500,不懂就问，别的剧也这样，一下四天不更新吗,[泪]
6501,什么时候大头照可以小一点啊,[泪]
6502,想起以前家乐福那家咖啡陪你，考公务员刷题就在他家办卡，一杯咖啡坐一下午。后来店里给我打电话说他们要关店了，卡里还有几十块没用完，记得消费掉。。当时就感慨老板人挺好的。,[二哈]
6503,那你为什么送你儿子去这破地方上学,[泪]
6504,你们一个个真是的，我们至死是少年的大男孩怎么会有错呢？ 马路上摘口罩怎么了，不顾女性意愿拦截她又怎样，人家一个大男孩做这些是可以原谅的，毕竟人家还是孩子,[doge]
6505,救命啊！我真的不懂 ！为什么优酷会放弃一个本来就自带热度的剧！粉丝辛辛苦苦做了数据做了各种应援 结果突然就把剧从黄金档调到了一个无人问津的时间点 我就想知道是跟哪个资本大爷的剧换的,[太开心]
6506,格局打开 还有谁不知道暗夜行者今晚大结局？ 拜托 现在入坑一口气看完24集了不要太爽哦,[馋嘴]
6507,我不用就瞎了，干眼症没救,[泪]
6508,胃不允许一只都不行,[泪]
6509,回想16年高考数学，做的飞快，自己做卷子已经翻页了，别人还没有翻页的动静，心里已经慌了，但是感觉自己很确定做的题，然后继续做，大题除了最后一个大题答的也很完整，真的感谢那一年努力的自己，拿下数学高分,[嘻嘻]
6510,怪不得都说种花家有钱 真的好多小钱钱啊啊啊 烧烤泡面麻辣烫奶茶咖啡我都不见得流口水 见了6000亿 我不自觉地惊得倒吸一口……水 就觉得分我一个小目标 您看刑不刑,[羞嗒嗒]
6511,膜拜韦神,[跪了]
6512,别从骨子里就觉得欧美人高贵啦 亚洲人有什么拿不出手的 哪里来的碾压之说 放在一起也没什么不敢的 都很绝啦,[嘻嘻]
6513,我只关心罚了多少钱？狠狠的罚这种人！,[哼]
6514,刘雨昕 x 越南芭莎 Charles de Vilmorin 2021春夏高定 Charles de Vilmorin 2021秋冬高定 Iris van Herpen 2017秋冬高定 五大×三套高定 国际昕 如果得不到这本杂志的话我会伤心的，OK？,[航天员]
6515,【好帅！ 】近日，由《本草纲目》改编的健身操火了。全国“蓝朋友”加入“本草纲目”健身操大PK，你支持哪一队？戳视频，一起跳起来↓↓↓,[中国赞]
6516,《恰似故人归》大结局啦，郭晓婷哽咽告别《恰似故人归》，顺德被郭晓婷演活了，她真的好好看，演技也很好 期待姐姐下个作品,[送花花]
6517,熊市行情下投资地产➕基建➕能源➕电力这些它不香吗？再说一遍今年的大科技绝对无行情，加息➕经济衰退抑制复工复产两大因素制约！🙏🙏🙏,[思考]
6518,“出差”半年，神舟十三号乘组开启回家之旅。出舱漫步、“天宫课堂”、太空过年……在太空半年，他们怎么度过的？完成了哪些任务？看↓↓ 戳图，回顾去太空出差是一种什么体验 ！！骄傲转发！,[开学季]
6519,是谁捡漏成功啦 美美去现场,[开学季]
6520,yddx原来是有点东西现在的网络用语是不能打字吗,[晕]
6521,就很有耐心，难的简单的动作都有教学，许老师不错 猫咪也好可爱,[虎爪比心]
6522,美图大赏！,[憧憬]
6523,#且试天下 鹤唳华亭#这是在干嘛？,[允悲]
6524,早该这样了,[哼]
6525,#浙江数学 边哭边写#昨天真的边哭边写 哽咽三次,[嘻嘻]
6526,哎，我就看看得了，市都出不去，还指望出省,[允悲]
6527,大明白也死了,[泪]
6528,我终于可以用手柄打王者了吗小拇指都磨出老茧了,[哇]
6529,15速速出相比14pm我更喜欢15pm这个名字希望我的11还能再战两年,[拳头]
6530,一个月前就空仓了的我吸溜一口泡面啃一口火腿肠，你们泡面还吃得起吗,[阴险]
6531,确实没看，这3又要来了,[思考]
6532,这段算目前高光之一了吧！感叹一句，王俊凯还是你厉害。 质疑他演技的，可以闭嘴了吧哈哈哈哈哈哈哈哈哈你说他眼神空洞，但人庄文杰角色设定就得这样无光，还不懂的话，建议多了解一下庄文杰这个角色吧 你说他台词，但今天的原声台词花絮充分表面 王俊凯的原声台词只有更好 ...全文,[笑cry]
6533,喜欢一个人的眼神是藏不住的 目光所及之处，满眼都是你,[哇]
6534,等周杰伦,[泪]
6535,🍋 | May × Summer 大家早安最近的天气真的太美妙了👏🏻 希望这个夏天有心动有惊喜 ✨ 有喜欢的人陪你吹夏日的晚风💕,[羞嗒嗒]
6536,云南： ？？？ 把没有拿到的还给我,[doge]
6537,……这跟年龄没关系吧,[思考]
6538,学回了,[awsl]
6539,🏆我们是冠军！！！！！！ 恭喜皇家马德里，提前4轮夺得2021/22赛季西甲冠军 因为坚持 所以伟大,[打call]
6540,看到切番茄，突然就想吃西红柿炒鸡蛋了,[doge]
6541,在海南拍刑侦剧消失的十一层 快杀青了 期待播出,[打call]
6542,明天跑步,[月亮]
6543,我经常去回民街吃饭 有特价酸奶 东乡族饭店 烧烤大盘鸡都挺好吃桂花糕每次买两个！！,[赞]
6544,好喜欢这种风格,[爱你]
6545,辟谣啥？没看明,[委屈]
6546,不是很正常嘛，拧了一年螺丝飘过,[doge]
6547,好厉害啊，这个,[good]
6548,心脏骤停,[苦涩]
6549,他们是亚洲吗,[疑问]
6550,有被帅到,[awsl]
6551,我只想庄文杰（王俊凯）的动作戏真的很丝滑,[抱一抱]
6552,我也很想知道捏！！狠狠期待🥳今晚开启雾山副本模式,[鼓掌]
6553,#mini 号打卡计划 北京·鹏·日本料理·火锅,[憧憬]
6554,朝阳好好的,[悲伤]
6555,三个S冠和一个S亚（晒哥加成），流量被tj玩明白了,[二哈]
6556,#陈坤 风起陇西# 能不能剧透一下谁是烛龙,[允悲]
6557,这一波文化输出是真的很不错了，之前都是买别国的综艺版权，现在是打破这个定律了，希望有越来越多这样的好节目。又到了街舞季，我也来期待一下今年的街舞队长人选，中国街舞也是很🐮的！,[鼓掌]
6558,所以有嘛，有的话我立马喊你男朋友,[哇]
6559,李佳航的新剧《破事精英》最新预告视频来啦！啊啊啊啊啊终于还是定档来了，真的是太期待啦！已经迫不及待gkdgkd,[送花花]
6560,任嘉伦蓝焰突击 别人睡着的时候你打，别人醒了你反而不打了看白打了吧 李溪成：你醒了啊 温亦冰：这不像你啊李溪成，你这个人精不是走到哪里都混得开吗，你与其在我这里浪费时间，不如回站里好好训练 李溪成：好意思吗你，不用上班啊，天天来 ...全文,[摊手]
6561,我看哭了，孩子太苦了,[泪]
6562,哈哈哈哈，上课无聊就拿出来玩一玩呐,[太开心]
6563,戏里乔南 帅气公主抱沐想想 ，戏外竟然频频翻车？戳花絮，快来围观俩人的逗趣日常吧！锁定 每周四五六晚20点，鬼马更新！,[思考]
6564,你说只有6.4分，那便是6.4分，只是这样好看的剧再也没有下一次了 除非有好本子给他俩二搭,[泪]
6565,说实话真是好喝的呢,[打call]
6566,何必呢？何苦呢？自己做一下不就完了吗？现在又方便又快，也耽误不了多长时间，真的什么人都有！ 两人都挺神，一个敢请，一个敢帮,[允悲]
6567,这横幅，就是我走过去了，也要特意倒回来仔细读一读的,[doge]
6568,还是我熟悉的那个灵魂画手王俊凯，哦不，现在是庄文杰,[喵喵]
6569,广场太好笑了，我们土祝人梗太满了,[good]
6570,这个热搜对我的伤害程度不亚于前些天天天变着法上热搜的snake是看到就会觉得浑身发冷的程度我真的酸Q,[揣手]
6571,第一第二都是杨洋赢麻了,[赢牛奶]
6572,我要交多少会费才能成为中国协出协会的会员啊？？？？有了邪邪我看谁还敢欺负我，通通给你们带走我们邪邪才是老大，在它面前法律都的挨几巴掌，你说是这样吗？我邪邪老大？邪邪护,[挖鼻]
6573,又是一年毕业季，好怀念呀,[2022]
6574,当前火星部分区域已经进入冬季了，而我们的祝融宝宝就在那里，所以，而且是准备冬眠啦，原来我们的祝融宝宝还是个会冬眠的孩子啊，那就火星开春再见啦，睡个好觉,[嘻嘻]
6575,现实版屏蔽词，字典里的要不也给屏蔽了,[摊手]
6576,服化道布景真的没的说 改编改的也没得说,[裂开]
6577,心中有希望就能看见光期待更多生命奇迹！,[心]
6578,井胧都上晚会了？ 周也唱歌了？？,[哆啦A梦害怕]
6579,一天出了300多万的结果，该说不说，还是我大北京牛逼，医护检测人员辛苦,[作揖]
6580,明天丰台公共交通能正常吗,[泪]
6581,名侦探柯,[爱你]
6582,以前觉得巧乐兹是高价雪糕，毕竟最贵的要5块钱一个，现在发现原来是平价雪糕了，毕竟确实好吃😋经济独立了，今年夏天冰箱填满他！,[笑cry]
6583,最近国际形势复杂，大家能不出国就少出国吧,[苦涩]
6584,送出去的东西不能要回来不是天经地义的吗正常判决结果男的全破防了，看来占不到便宜男的真的会死啦 网页链接,[黑线]
6585,鲁迅先生怎么看,[哈欠]
6586,标题党,[单身狗]
6587,真不知道明天和意外哪个先来，逝者安息,[蜡烛]
6588,是那个大冤种,[汗]
6589,脾气好的都不想谈恋爱,[允悲]
6590,一加Ace也是个大冤种，才40多度就送上热搜了！我得iPhone12不服啊，我能到50-60度，一看这两个小白就没用过骁龙8以上产品,[允悲]
6591,济南是疫情严重了吗？怎么看起来那么恐怖,[黑线]
6592,来听月光骑士浪漫翻唱《星球大战》主题曲呀！(什么东西！) 事情是这样，1978年比尔·默瑞在SNL小段中给《星战》主题曲填了个词， 莫名好笑，小段爆红。2015年底奥斯卡·伊萨克推《星球大战7：原力觉醒》时为GQ杂志翻唱了这首歌，加入了很多新元素。 但重点是，辣爹唱得实在太好听了。 ...全文,[笑cry]
6593,我赶紧点进来看是不是我想的东海的那条鱼,[汗]
6594,#光与夜之恋 美兔##光与夜之恋 布朗云# 这样吧头头。你给女主立绘重做 人设重做 和男主们的短信电话重做 我当然知道这些把和之前的故事线串起来很难 但是又不是我的错 你自己做的错自己承担很正常吧 这样我就不骂你啦,[送花花]
6595,希望大家都好好的无锡加油,[拳头]
6596,进退两难没戴口罩，没亮绿码想进小区？没门！这栅栏可是立了大功，防止野猪乱伤人。,[允悲]
6597,要胜利啦 莱芜,[泪]
6598,五四青年节快乐！！！蔡徐坤根正苗红大好青年，我为他骄傲,[抱一抱]
6599,啥？？莲花清瘟咋了？？还开批斗大会吗？？莲花清瘟又不是针对新冠发明的，早就有了，对感冒咳嗽本来就很有效，妨碍着谁了,[摊手]
6600,或许有这么一种可能， 隔着屏幕的我们才能有可能谈一场爱情 maybe，社恐helps社恐，网络一线牵,[喵喵]
6601,没有哦，跟不上,[悲伤]
6602,哈哈哈哈这一季再看一次还是笑疯了 他有点优秀～女士优先哈哈哈哈,[允悲]
6603,教育类温大预录取最高253最低233,[doge]
6604,因为特殊原因，本周湖南卫视的多档综艺暂停播出，表示理解，希望节哀,[蜡烛]
6605,你们再撑一撑，过几年就拉10后了，90后就是这样撑过来的,[doge]
6606,drama坐等续集盆友们,[赞]
6607,欢迎回家,[虎爪比心]
6608,太优秀，太棒了吧！真是人才啊！ 呜呜呜，我好像啥也不会！人比人气死人啊,[单身狗]
6609,早,[加油]
6610,《爸爸去哪儿》安吉给爸爸,[笑cry]
6611,看网友说,[话筒]
6612,下头,[鄙视]
6613,啥，就输了1个？ 小日子这次是虽败犹荣啊 还说牛逼的时候还是要说牛逼 话说国足……,[允悲]
6614,名侦探柯南 少年，愿你，良辰吉日时时有，锦瑟年华岁岁拥 快乐,[送花花]
6615,在夜市还能说是猥琐男喝酒了，博主真善良，喝酒了怎么没见他们搞壮汉大白天上班我都遇过好几次猥琐男呢，都能做爷爷的年纪了，行为话语还这么猥琐（贴在窗上跟偷窥一样看我们，说见到男人都扑上去、屌来屌去等等），还说我那么凶？,[打脸]
6616,超期待滴，我等你等了很久了！！,[掌宝荧光棒]
6617,有时候我们爱上别人是源于渴望逃离自我，想投入一个完美成功之人的怀抱，因为我们觉得自己愚笨又平庸，缺乏一定的自我喜爱。我们不相信自己值得被爱，总是对成熟伴侣的爱做出愚钝的回应。因此，懂得如何热爱自己，是我们能为伴侣所做到的最浪 ...全文,[心]
6618,真好哭,[泪]
6619,希望这是最后一针！大家都被新冠弄的精疲力尽了！什么时候才能战胜新冠啊？,[单身狗]
6620,不可能缺席的 今天天气还挺好，就挺凉快的…… 查看图片 就……不应该多说话 查看图片 好吧，我…… 查看图片,[闭嘴]
6621,一大早没睡醒就看到热搜 抓紧起床查成绩 还好过啦,[开学季]
6622,疫情最好别让我再退一次车票,[拜拜]
6623,象宝宝过泼水节咯🥳🥳泼一下泼一下💦💦💦💦象爸爸在哪里粗奶丸💦💦💦,[悲伤]
6624,好多白素贞，法海你不懂爱,[哼]
6625,做核酸也找人替,[挖鼻]
6626,王俊凯！王俊凯！王俊凯！,[哇]
6627,亮出我心中永远的小白,[可怜]
6628,真的不建议犯贱，只会让锅♂更普信,[汗]
6629,我们班主任高考完就退群了,[衰]
6630,躺又躺不平，卷又卷不动！,[二哈]
6631,其实哪里的朋友圈都是在露营 这三年憋得实在太渴望户外了,[允悲]
6632,台湾媒体人：大陆导弹打不到台东，因为地球是圆的。,[允悲]
6633,重度视力疲劳,[笑cry]
6634,“我管他喜欢什么”,[黑线]
6635,怎么能在第三季换人呢路桥川啊……………,[泪]
6636,天盛长歌。。。居然是凰权改的，救命阿这俩是同一个内容的存在吗？,[裂开]
6637,哇哦，东南校庆哦还没去东南玩过，有机会了得去看看,[偷笑]
6638,呜呜这个救场更喜欢檀健次了体贴➕高情商➕素质呜呜呜呜呜呜呜,[泪]
6639,回城特效动图来啦 男枪手里的应援棒，Meiko抚摸猫咪的手…… 大家还发现了哪些彩蛋和细节,[打call]
6640,。 白愁飞给我冲起来.越来越精彩了。超棒 看不够,[赞啊]
6641,我看成加满一箱92号汽油花了8元,[允悲]
6642,唔系呀嘛，周破嚎呢D双面人？系咪玩嘢先？！,[吐]
6643,合影一下!炊(次)人们，给爷冲,[赢牛奶]
6644,这个五一没有小长假,[举手]
6645,是这样捏，我知道的太晚了,[苦涩]
6646,檀健次 💕  细节见人心这句话是真的！自信可以来源于一切，但绝不仅仅来源于身高。生而为人，我们都有不完美的地方，但从檀老师身上我学到了自信的力量说实话 他脱鞋的那一刹那我脑瓜子就咯噔一下怕有增高鞋垫，结果还真有，虽然是 ...全文,[抱一抱]
6647,又来了又来了,[太开心]
6648,这不是拖行交警的法制咖“张汉”吗,[开学季]
6649,WBG英雄联盟第一天就是三冠＋一亚的赛程，okok。藤井你很懂嘛,[航天员]
6650,没有吧…反正我没有啊,[晕]
6651,所以我一直在摆烂,[喵喵]
6652,继续核酸,[跪了]
6653,临光一家 舟三周年了，感谢大家的一路支持！ 转抽一位送出 648 元！,[小黄人高兴]
6654,这热搜话题不加主语 活该被骂,[挖鼻]
6655,《暗夜行者》真的看得我好上头啊，这个剧情反转真的好多，骆翔究竟是什么身份啊，不过马上就要大结局了，真的好舍不得看不够啊看不够！！,[泪]
6656,悄悄说一下这什么妆造啊，花花绿绿的衣服，头套也怪不合适还我姐美貌啊啊啊啊,[泪]
6657,当杀青现场遭遇“坏坏”的剧组，不知道这最后一个镜头燕破岳 有没有过瘾？特特好希望那声“咔”永远不被说出口……内心的千言万语都融化在了拥抱和泪水中，大家满满的不舍看得特特也湿了眼眶故事有终章，但脚步不会停歇，在奔赴梦想的路 ...全文,[悲伤]
6658,热搜进来的，男主好帅啊，听说还是武侠探案剧，爱了爱了,[爱你]
6659,灰熊这帮子蠢逼别天天拿“年轻气盛”当借口来干恶心事儿了,[NO]
6660,回忆总是美好的,[笑cry]
6661,婚纱、敬酒服、睡衣，就这样嫁给陆沉吧谁要你的大怨种婚纱。 不改自选绝不会为婚纱花一分钱光与夜之恋，真有你的。,[怒]
6662,近日，有网友发帖称在郑州月入两万是一种什么体验呢？有人称在郑州月薪2万可以过丰衣足食，清闲自在，安心乐业的生活；有人表示虽月入两万但感觉还是压力很大，什么也不敢买。你怎么看呢？在郑州月入两万的都是做什么工作的呢,[吃瓜]
6663,哈哈哈哈濛主太可爱了,[嘻嘻]
6664,王俊凯 让我想起来那句 我死也要跳完,[泪]
6665,李到晛｜ 220506 第58届百想艺术大赏🏆颁奖CUT 1 好久不见的到晛 🦊安利/补档/汁源请戳 李到晛 置顶帖 🦊,[泪]
6666,要不你还是把我杀了吧,[微笑]
6667,我刚才真的以为是我的手机信号不好一直显示断网，但是奇怪的是给妈妈发的照片却都能正常发出。,[允悲]
6668,我还没开始，有的人已经结束了,[揣手]
6669,今天上班本来打算骑共享单车了，骑了不到五百米，看到了出租车，赶紧打车，如获大赦,[笑cry]
6670,6月7日早，云南丽江。张桂梅送华坪女子高级中学的学生参加高考。这些学生统一乘坐公交车，身穿红色的衣服前往考点。张桂梅被一学生搀扶着从公交车上走下来，手里拿着喇叭并不断地叮嘱着即将进入考场的考生们。,[心]
6671,#且试天下 古偶#女主的眉毛再黑点就好了，毕竟古代可没染眉膏哟,[并不简单]
6672,地铁封了上不了班 公司也没有任何通知 居家办公还只发60%的工资 这不就是逼我想一切办法上班吗 难道不会增加感染风险吗,[拜拜]
6673,又是一年高考季，跟着许弋 一起宣誓✊。预祝各位学子高考加油金榜题名赛出好成绩,[中国赞]
6674,真吓死人了这爸爸还好没看手机，真是万幸🙏,[黑线]
6675,赢是赢了，就是太费粉丝最后一局直接一边看一边掐着人中，终于赢了眼泪都出来了,[伤心]
6676,看了两遍这个短片，檀健次念这个诗词真的很契合，感觉像看了一部剧的预告片，没有违和感 观感非常舒适，请一定要多多演好戏,[赞]
6677,漏 我不想再在家里一憋一个多月了,[哆啦A梦害怕]
6678,听到楼下小朋友嬉闹 现在玩追逐游戏已经演化成 XX是病毒携带者要抓到他 看不懂但大受震撼,[doge]
6679,看见好几次了，说消费者借机讹钱的，贱不贱呐,[太开心]
6680,有点小紧张，还有看视频的时候眼睛有点酸,[苦涩]
6681,低温、沙尘、光照时间缩短……当前“祝融号”火星车所在区域已进入冬季。火星每个季节的平均持续时间约是地球的2倍，“祝融号”设计了自主休眠等工作模式，等到环境条件逐渐转好后，再恢复正常工作模式。祝顺利过冬！via,[揣手]
6682,前有王者 老太深夜凌晨三点完成五杀 今有69婆婆跳水救人，完了还又跳回去捡包包。 果然你奶奶永远是你奶奶,[doge]
6683,还有谁没写毕业论文 罗熙的日常的微博视频,[doge]
6684,致敬所有身处黑暗的缉毒警察们 愿天下无毒 立意深远 制作精良 观众由此可见一斑他们的伟大 无名英雄仍在各个角落未见其名地奋斗着 朝着光亮 以生命为引,[作揖]
6685,……我就知道上海不可能,[苦涩]
6686,我看北京日报离精选评论的日子也不远了。。请部分上海网友，吉林黑龙江网友，河北网友，北京网友和其他各地网友克制一点,[doge]
6687,回小区必须72小时核酸……没有不能回家 只能在外面流浪,[单身狗]
6688,短片是檀健次的原声吗？如果是原声的话，台词功底都这么牛了为什么粉丝不放台词剪辑加热呢？天天在破站写史书，让他来微博写写也行呀,[允悲]
6689,大家加油,[赢牛奶]
6690,基建燃油190 以后坐不起飞机了就是说,[苦涩]
6691,干得漂亮。看来事情比想象的复杂，俄罗斯🇷🇺顶住,[加油]
6692,嘉玛·陈的华丽礼服，很敢穿,[喵喵]
6693,这热搜 太吓人了,[并不简单]
6694,集集不提爱，却又句句都是爱。眼神、细节传递的，都是他们对彼此的爱。不是俗世中普通情侣的小情小爱，是在大爱的基础上衍生出来的惺惺相惜、互相欣赏、互相成全的爱准备二刷啦,[心]
6695,高考延期、中考延期、结婚延期、生子延期、看病延期，似乎所有人的生命都延长了,[失望]
6696,又到丰收女神广场，马蓬蓬系的有点儿不熟练，他是我团夺冠次数最多的球员，这么多年来兢兢业业，也许可能下赛季就不在皇马了，他值得这份荣耀！,[允悲]
6697,害怕这种巨物,[揣手]
6698,刘雨昕牛逼,[彩虹屁]
6699,可是超级舒服诶,[doge]
6700,小小年纪就已经要赚钱养家了还要陪着站岗早出超晚归,[苦涩]
6701,丑的一b 你怎么好意思说是同一套的 至少tm也要精致那么一点吧 现在还tm出这种事 真的 退钱吧 服了。。。,[裂开]
6702,快出瓜，汪峰定律出现吧，阿门,[污]
6703,这个皮肤真的太好看了吧,[打call]
6704,首先你需要有一个男朋友,[跪了]
6705,我今晚就试试,[哆啦A梦吃惊]
6706,“小朋友”你好,希望我们一直都是小朋友 .
6707,唐诗逸听我说谢谢你，这KTV版真是一整个氛围感拉满咯～姐姐们的实力太绝了吧，所以下次可以多来点这种视频吗,[开学季]
6708,好快,[彩虹屁]
6709,本以为李寒衣没有到雷家堡道剑仙就不会死，结果还是又回到了原著的结局,[泪]
6710,能不能别让蛇天天上rs了 我都做噩梦了,[泪]
6711,想呀,[二哈]
6712,胡老师五一快乐 胡彦斌/汪小敏《可惜没如果 (Live)》可惜没如,[音乐]
